symbol,last_close,pct_1d,pct_5d,pct_20d,volume_ratio,above_50dma,near_52w_high,pct_from_52w_high,breakout,big_mover,volume_spike,higher_lows,momentum_score
UPL,625.85,4.78,7.56,2.46,2.02,True,False,6.45,True,False,True,False,52.4
INGERRAND,4676.9,5.58,7.4,-0.79,2.44,True,True,0.79,False,False,True,False,52.2
ASIANENE,365.15,-0.48,10.48,2.99,2.74,True,True,4.86,False,False,True,False,51.7
KESORAMIND,12.3,-4.95,3.8,16.04,2.57,True,False,9.49,False,False,True,False,51.5
SPMLINFRA,206.95,1.89,8.93,10.67,2.77,True,False,6.7,False,False,True,False,51.4
COASTCORP,53.6,2.13,7.37,4.02,2.04,True,False,14.83,True,False,True,False,51.4
NEWGEN,541.95,-2.82,14.53,11.07,2.99,True,False,8.22,False,False,True,False,51.0
NARMADA,37.98,7.2,9.67,7.74,2.55,True,False,12.81,False,False,True,False,50.5
RKFORGE,589.7,4.65,5.17,0.08,29.58,True,False,5.34,False,False,True,False,49.7
HDFCLIQUID,1069.46,0.01,0.09,0.38,2.79,True,True,0.0,True,False,True,False,49.5
IEX,124.74,4.92,5.85,0.96,3.65,True,False,8.15,False,False,True,False,49.1
AKCAPIT,1771.7,0.05,-0.88,3.97,4.15,True,True,1.59,False,False,True,False,49.0
HCG,660.1,2.05,1.13,7.38,2.44,True,True,3.82,False,False,True,False,48.9
KAMAHOLD,2615.8,2.52,2.44,0.47,3.1,True,True,3.52,False,False,True,False,48.4
WINDLAS,850.25,1.2,2.95,5.27,2.17,True,True,4.95,False,False,True,False,48.2
LICNETFGSC,29.55,0.37,0.44,1.58,5.58,True,True,0.57,False,False,True,False,47.8
BANK10ADD,17.33,-0.23,0.58,1.58,62.36,True,True,1.2,False,False,True,False,47.7
UNIENTER,108.78,0.97,0.92,1.28,3.69,True,True,1.6,False,False,True,False,47.5
SIEMENS,3657.6,2.4,5.21,-2.37,4.1,True,False,5.7,False,False,True,False,47.4
MAKEINDIA,161.97,0.0,1.09,-0.56,4.15,True,True,1.39,False,False,True,False,47.2
ABSLNN50ET,75.4,-0.33,0.49,-0.75,41.38,True,True,1.37,False,False,True,False,46.0
GSEC5IETF,66.04,-0.05,0.2,0.64,16.06,True,True,1.3,False,False,True,False,46.0
BASML,27.28,-2.75,-1.16,10.94,2.01,True,True,2.85,False,False,True,False,46.0
JINDALSAW,268.05,4.89,-1.56,1.51,2.78,True,True,2.81,False,False,True,False,45.3
21STCENMGM,33.06,1.79,5.45,-1.08,3.7,True,False,9.89,False,False,True,False,45.3
BAFNAPH,174.58,-10.0,20.06,0.0,65.37,True,False,10.0,False,True,True,False,45.0
RBLBANK,362.8,-2.68,0.0,-1.75,5.02,True,True,4.69,False,False,True,False,45.0
MIDCAP,18.37,-0.27,0.82,1.49,3.24,True,True,0.38,False,False,True,False,44.3
JAIBALAJI,80.87,5.6,-6.16,10.18,2.8,True,False,6.16,False,False,True,False,44.2
AONETOTAL,11.84,-0.08,0.77,0.51,3.36,True,True,0.67,False,False,True,False,43.8
TVSHLTD,14013.0,0.09,0.42,5.46,2.39,True,True,4.58,False,False,True,False,43.4
NIRLON,620.0,-3.55,0.0,-0.07,3.67,True,True,4.31,False,False,True,False,43.3
ELIN,109.41,-4.61,9.67,3.03,2.84,True,False,18.12,False,False,True,False,42.3
PAR,95.03,-7.07,6.04,-1.42,3.38,True,False,7.07,False,False,True,False,41.9
SHRADHA,35.18,-13.65,8.11,0.69,3.22,True,False,15.78,False,True,True,False,41.8
REPRO,370.25,0.03,2.01,1.01,2.35,True,True,4.29,False,False,True,False,41.8
MAGADSUGAR,514.4,-0.41,1.95,11.85,2.17,True,False,5.2,False,False,True,False,41.6
SILINV,430.2,1.99,2.14,-1.43,4.14,True,False,11.12,False,False,True,False,41.3
NAVNETEDUL,149.46,-0.66,0.5,8.69,3.21,True,False,5.86,False,False,True,False,40.7
INFRA,12.25,-0.24,0.41,-1.13,2.87,True,True,2.23,False,False,True,False,40.2
HDFCSENSEX,87.57,0.14,0.61,0.31,2.58,True,True,1.94,False,False,True,False,39.6
SCHAEFFLER,4131.7,0.3,2.12,-1.3,5.11,True,False,5.13,False,False,True,False,39.5
MANAKALUCO,37.36,1.77,8.92,-7.84,2.54,True,False,9.69,False,False,True,False,39.4
MODTHREAD,46.53,1.59,-1.96,6.45,3.28,True,False,9.72,False,False,True,False,39.4
LOTUSEYE,122.57,2.05,1.2,-7.74,5.05,True,False,12.44,False,False,True,False,39.4
LTTS,3480.2,-0.8,8.16,2.12,2.26,True,False,8.53,False,False,True,False,38.4
NIFTY1,267.4,0.28,0.6,0.22,2.29,True,True,1.08,False,False,True,False,38.2
EBBETF0433,1312.43,-0.05,-0.39,1.4,2.1,True,True,0.59,False,False,True,False,36.9
NIFTY100EW,34.69,-0.32,0.38,-0.2,2.22,True,True,2.56,False,False,True,False,36.8
APOLSINHOT,1290.3,-5.76,6.64,-5.88,2.32,True,False,6.39,False,False,True,False,36.6
BAJAJELEC,335.9,1.77,2.8,2.08,2.41,True,False,19.67,False,False,True,False,36.5
GROWW,205.64,-4.94,3.63,2.54,2.03,True,False,7.19,False,False,True,False,34.9
ITCHOTELS,174.12,-5.11,-4.49,8.06,2.27,True,False,6.98,False,False,True,False,34.4
ICICIPRULI,508.85,-3.1,3.7,-2.54,2.36,True,False,10.3,False,False,True,False,34.2
IVP,162.66,-9.17,2.28,-2.21,2.33,True,False,14.25,False,True,True,False,31.2
SURYALA,433.15,-0.43,-4.28,-4.24,3.2,True,False,10.13,False,False,True,False,31.0
SWSOLAR,220.78,-7.78,-4.02,-0.61,2.52,True,False,11.39,False,False,True,False,27.6
NAM-INDIA,1151.5,-3.74,-5.48,-1.36,2.06,True,False,5.48,False,False,True,False,25.3
